Site_No.,Site_Type,OM_depth,soil_moisture_perc,elevation_m,aspect,slope,topex,topex_class,group_size,no_salix,no_target,pH,PO4,C:N
1,Target,20,53,60,244,-16,77,Sheltered,7,3,4,4.465,0.37,20.53101111
2,Target,26,52,72,248,-12,89,Sheltered,10,4,6,4.43,0.32,21.83656718
3,Target,14,52,69,212,-14,73,Sheltered,5,3,2,4.285,0.372,23.25043659
4,NoTarget,18,52,79,264,-12,81,Sheltered,1,1,0,4.415,0.637,18.54719862
5,Target,12,52,102,260,-12,63,Sheltered,9,8,1,4.46,0.174,17.86196078
6,Target,12,50,112,252,-17,69,Sheltered,11,10,1,4.54,0.378,18.49595385
7,Target,18,53,63,190,-9,93,Sheltered,10,8,2,4.53,0.483,17.36904063
8,NoTarget,18,54,63,194,-8,96,Sheltered,12,12,0,4.45,0.383,16.74242063
10,Target,13,54,48,230,-12,79,Sheltered,22,5,17,4.245,0.439,19.21496164
11,Target,16,52,60,218,-26,48,Moderately Exposed,5,4,1,4.455,0.233,18.18617015
12,Target,18,53,57,219,-21,64,Sheltered,27,19,8,4.275,0.278,18.40080467
13,Target,12,54,58,225,-20,62,Sheltered,26,16,10,4.38,0.279,18.46425978
14,Target,16,54,65,215,-2,38,Moderately Exposed,10,3,7,4.175,0.276,19.40328892
15,Target,15,54,48,214,-23,89,Sheltered,8,2,6,4.225,0.332,19.49712794
16,Target,10,53,41,284,-13,31,Moderately Exposed,6,3,3,4.215,0.426,20.77821525
17,Target,15,52,41,264,-21,70,Sheltered,7,3,5,4.32,0.137,20.17070361
18,Target,12,52,46,261,-18,42,Moderately Exposed,18,17,1,na,na,na
19,NoTarget,5,53,51,266,-13,32,Moderately Exposed,3,3,0,4.245,0.206,21.77286253
20,Target,12,53,43,254,-20,72,Sheltered,14,9,5,4.335,0.292,21.13131439
21,NoTarget,10,51,49,246,-29,83,Sheltered,9,9,0,4.29,0.265,18.76383156
22,NoTarget,13,51,49,255,-27,71,Sheltered,15,15,0,4.325,0.072,16.35670612
23,NoTarget,7,52,54,242,-22,69,Sheltered,1,1,0,4.255,0.516,22.65831364
24,Target,14,53,51,250,-25,66,Sheltered,9,8,1,4.22,0.336,17.60917983
25,NoTarget,9,52,62,254,-23,49,Moderately Exposed,3,3,0,4.2,0.365,20.3974343
26,NoTarget,21,53,54,203,-23,81,Sheltered,3,3,0,4.085,0.58,20.09221402
27,NoTarget,16,53,54,262,-23,83,Sheltered,4,4,0,4.235,0.438,18.69508547
28,NoTarget,16,54,60,227,-21,24,Very Exposed,5,5,0,4.235,0.416,20.7546431
29,NoTarget,12,52,61,240,-18,31,Moderately Exposed,6,6,0,4.23,0.473,20.7999974
30,NoTarget,9,51,103,245,-19,76,Sheltered,4,4,0,4.34,0.278,17.96297881
31,NoTarget,12,52,141,243,-19,86,Sheltered,7,7,0,4.46,0.223,16.97457025
32,NoTarget,19,49,147,236,-13,111,Very Sheltered,7,7,0,4.68,0.108,16.3295408
33,NoTarget,14,47,150,221,-15,98,Sheltered,12,12,0,4.78,0.165,16.24514823
34,NoTarget,15,47,138,256,-13,95,Sheltered,9,9,0,4.985,0.217,15.02698922
35,NoTarget,13,46,133,220,-15,71,Sheltered,5,5,0,4.465,0.094,18.4910703
36,NoTarget,13,45,120,250,-20,71,Sheltered,5,5,0,4.865,0.07,13.24672257
37,Target,12,43,127,240,-17,59,Moderately Exposed,5,3,2,4.945,0.186,16.42313867
38,Target,15,46,140,220,-13,90,Sheltered,23,5,18,5.41,0.692,15.35096559
39,Target,16,43,137,231,-20,78,Sheltered,9,7,2,4.52,0.077,15.65318725
40,Target,21,48,127,256,-21,65,Sheltered,12,7,5,4.62,0.88,20.94056317
41,Target,20,47,123,244,-21,62,Sheltered,13,12,1,na,0.044,na
